c1normal,c2normal,c3normal,c4normal,c1shear,c2shear,c3shear,c4shear,timestamp
112603.000,112660.000,112211.000,112184.000,-502.000,-327.000,-95.000,533.000,1761203749.487
112579.000,112631.000,112184.000,112174.000,-511.000,-338.000,-56.000,533.000,1761203749.490
112577.000,112604.000,112182.000,112208.000,-486.000,-342.000,-55.000,535.000,1761203749.492
112613.000,112647.000,112195.000,112204.000,-510.000,-337.000,-70.000,548.000,1761203749.493
112607.000,112641.000,112199.000,112218.000,-479.000,-339.000,-65.000,517.000,1761203749.495
112601.000,112642.000,112184.000,112179.000,-519.000,-348.000,-67.000,538.000,1761203749.497
112582.000,112636.000,112199.000,112181.000,-498.000,-332.000,-65.000,545.000,1761203749.498
112563.000,112619.000,112217.000,112218.000,-510.000,-354.000,-61.000,531.000,1761203749.500
112570.000,112604.000,112196.000,112223.000,-489.000,-368.000,-74.000,536.000,1761203749.502
112558.000,112615.000,112190.000,112203.000,-510.000,-350.000,-63.000,534.000,1761203749.504
112593.000,112630.000,112216.000,112176.000,-504.000,-345.000,-57.000,557.000,1761203749.505
112569.000,112628.000,112192.000,112202.000,-505.000,-346.000,-70.000,534.000,1761203749.507
112614.000,112641.000,112209.000,112227.000,-525.000,-348.000,-80.000,553.000,1761203749.509
112613.000,112605.000,112185.000,112222.000,-501.000,-337.000,-70.000,531.000,1761203749.511
112588.000,112670.000,112219.000,112160.000,-502.000,-332.000,-68.000,513.000,1761203749.513
112598.000,112625.000,112172.000,112195.000,-507.000,-339.000,-91.000,537.000,1761203749.515
112576.000,112599.000,112186.000,112182.000,-513.000,-334.000,-85.000,527.000,1761203749.517
112573.000,112619.000,112207.000,112199.000,-494.000,-355.000,-53.000,531.000,1761203749.519
112606.000,112635.000,112214.000,112186.000,-518.000,-351.000,-82.000,524.000,1761203749.521
112583.000,112622.000,112192.000,112187.000,-514.000,-344.000,-90.000,565.000,1761203749.523
112588.000,112614.000,112181.000,112183.000,-499.000,-334.000,-69.000,543.000,1761203749.524
112562.000,112616.000,112176.000,112170.000,-499.000,-326.000,-70.000,535.000,1761203749.526
